Price_NT,District,Ping,Rooms,type
75000,士林區,66.5,4,電梯大樓
60000,士林區,53,1,電梯大樓
170000,士林區,109,5,電梯大樓
80000,中山區,47,3,電梯大樓
70000,士林區,48.3,4,電梯大樓
60000,士林區,54.6,4,電梯大樓
48000,士林區,43,2,電梯大樓
210000,士林區,87.4,4,電梯大樓
36000,北投區,29.22,2,電梯大樓
50000,北投區,40,4,電梯大樓
42000,信義區,39,3,電梯大樓
45000,士林區,37.87,2,電梯大樓
65000,士林區,58,4,電梯大樓
38000,內湖區,37.93,3,電梯大樓
37000,內湖區,44.17,3,電梯大樓
26000,北投區,17.36,1,電梯大樓
39000,士林區,30.61,3,電梯大樓
48000,北投區,45.28,2,電梯大樓
11000,士林區,7.4,1,電梯大樓
50000,大安區,28.25,1,電梯大樓
60000,大同區,42.06,3,電梯大樓
95000,信義區,16.3,1,電梯大樓
68250,信義區,10.4,1,電梯大樓
48000,大安區,16.25,1,電梯大樓
7000,大安區,23.91,3,電梯大樓
35000,大安區,26.07,2,電梯大樓
180000,北投區,92.41,5,電梯大樓
10000,北投區,10.09,1,電梯大樓
18000,北投區,7.5,1,電梯大樓
48000,北投區,29.53,1,電梯大樓
70000,北投區,82.64,3,電梯大樓
25000,北投區,19.26,1,電梯大樓
28000,中山區,15.7,2,電梯大樓
27000,中山區,14.52,1,電梯大樓
53000,內湖區,37.62,2,電梯大樓
55000,北投區,51.2,4,電梯大樓
68000,士林區,55.93,3,電梯大樓
150000,中山區,62.6,4,電梯大樓
49000,士林區,33,2,電梯大樓
15000,大同區,9.64,1,電梯大樓
39000,士林區,40.11,3,電梯大樓
33000,松山區,17.91,1,電梯大樓
27000,大安區,14.67,2,電梯大樓
45000,松山區,32.7,2,電梯大樓
46000,南港區,15.07,1,電梯大樓
38000,南港區,25.19,4,電梯大樓
66000,信義區,31.14,2,電梯大樓
20500,信義區,8.33,2,電梯大樓
28000,信義區,20.69,3,電梯大樓
45000,北投區,35.97,3,電梯大樓
24000,大安區,6.92,1,電梯大樓
66000,中山區,27.37,1,電梯大樓
80000,中山區,62.13,1,電梯大樓
35000,北投區,42.61,3,電梯大樓
70000,士林區,42,3,電梯大樓
70000,北投區,57,3,電梯大樓
55000,北投區,42,3,電梯大樓
45000,士林區,33.87,2,電梯大樓
65000,大安區,50.71,3,電梯大樓
24000,中山區,12.39,1,電梯大樓
198000,南港區,121.2,4,電梯大樓
57000,內湖區,52.71,3,電梯大樓
63000,北投區,24.68,3,電梯大樓
55000,中山區,73.16,4,電梯大樓
59000,中正區,18.11,1,電梯大樓
68000,士林區,44,3,電梯大樓
120000,文山區,69.59,3,電梯大樓
72000,內湖區,56.17,2,電梯大樓
98000,大同區,78.15,4,電梯大樓
53500,南港區,41.22,2,電梯大樓
20000,中山區,9.61,1,電梯大樓
39500,南港區,29.97,3,電梯大樓
41500,南港區,41.17,3,電梯大樓
56000,內湖區,40.39,3,電梯大樓
45000,北投區,24.5,3,電梯大樓
43000,信義區,32.4,3,電梯大樓
138000,內湖區,115,4,電梯大樓
45000,信義區,25.87,2,電梯大樓
65000,萬華區,62.43,4,電梯大樓
60999,北投區,51.1,3,電梯大樓
90000,士林區,74,4,電梯大樓
48000,北投區,25.8,2,電梯大樓
95000,北投區,59.6,3,電梯大樓
70000,北投區,36,3,電梯大樓
55000,士林區,70,3,電梯大樓
150000,士林區,94,5,電梯大樓
48000,文山區,46.93,3,電梯大樓
40000,中山區,25.62,2,電梯大樓
30000,萬華區,15.5,1,電梯大樓
95000,大安區,71.97,5,電梯大樓
60000,大安區,35.7,1,電梯大樓
67000,信義區,34.92,2,電梯大樓
45000,文山區,28.64,1,電梯大樓
65000,中正區,35.38,3,電梯大樓
48000,南港區,25.81,2,電梯大樓
44500,南港區,30.81,2,電梯大樓
50000,南港區,50.93,3,電梯大樓
40000,大同區,22.5,1,電梯大樓
32000,大安區,8.06,1,電梯大樓
23000,中山區,12.96,1,電梯大樓
35000,大同區,18.21,1,電梯大樓
130000,中山區,45.85,3,電梯大樓
50000,大同區,24.32,1,電梯大樓
29000,中山區,13.02,1,電梯大樓
85000,大同區,30.55,2,電梯大樓
55000,大同區,29.01,1,電梯大樓
45000,南港區,36.79,2,電梯大樓
36000,中山區,22.1,2,電梯大樓
138000,大安區,88.54,4,電梯大樓
138000,大安區,82.55,4,電梯大樓
120000,北投區,69.66,２,電梯大樓
98000,北投區,56.8,３,電梯大樓
55000,信義區,36.15,３,電梯大樓
