Price_NT,District,Ping,Rooms,type,Price_per_ping,sqm,Price_per_sqm
103000,松山區,46.6,,電梯大樓,2210.300429184549,154.05960000000002,668.5724226208557
90000,信義區,83.09,,電梯大樓,1083.1628354796003,274.69554,327.63546142758634
75000,內湖區,58.42,,電梯大樓,1283.8069154399177,193.13652000000002,388.3263507077791
125000,中山區,61.73,,電梯大樓,2024.9473513688645,204.07938,612.5067608496263
88000,南港區,61.62,,電梯大樓,1428.1077572216814,203.71572,431.9745182158745
68000,大安區,36.44,3.0,電梯大樓,1866.081229418222,120.47063999999999,564.4528824616522
55000,信義區,48.0,3.0,電梯大樓,1145.8333333333333,158.688,346.59205484976815
65000,中正區,27.0,1.0,電梯大樓,2407.4074074074074,89.262,728.1934081692098
58000,中山區,36.0,3.0,電梯大樓,1611.111111111111,119.016,487.32943469785573
49000,南港區,27.0,2.0,電梯大樓,1814.8148148148148,89.262,548.9458000044812
90000,士林區,50.0,3.0,電梯大樓,1800.0,165.3,544.464609800363
58000,中山區,43.0,3.0,電梯大樓,1348.8372093023256,142.15800000000002,407.99673602611176
75000,大安區,46.0,3.0,電梯大樓,1630.4347826086957,152.076,493.17446539887953
120000,南港區,61.0,4.0,電梯大樓,1967.2131147540983,201.666,595.0432893993038
29000,內湖區,12.17,1.0,電梯大樓,2382.9087921117502,40.23402,720.783058714988
20000,中山區,11.84,1.0,電梯大樓,1689.1891891891892,39.14304,510.94651820604633
60000,士林區,42.87,3.0,電梯大樓,1399.5801259622115,141.72822,423.3454706479768
17000,萬華區,10.84,1.0,電梯大樓,1568.2656826568266,35.83704,474.3695349839161
30000,信義區,11.09,1.0,電梯大樓,2705.139765554554,36.66354,818.2515927267253
37000,中山區,24.15,2.0,電梯大樓,1532.0910973084888,79.8399,463.42743415259787
45000,士林區,35.72,4.0,電梯大樓,1259.7984322508398,118.09031999999999,381.0642565792014
35000,大安區,12.19,1.0,電梯大樓,2871.205906480722,40.30014,868.4833352936244
27500,北投區,30.64,2.0,電梯大樓,897.5195822454308,101.29584,271.4820272974685
67000,士林區,52.0,4.0,電梯大樓,1288.4615384615386,171.912,389.7342826562427
150000,北投區,61.0,4.0,電梯大樓,2459.0163934426228,201.666,743.8041117491298
66000,北投區,40.6,3.0,電梯大樓,1625.615763546798,134.2236,491.71680688045916
95000,士林區,45.0,3.0,電梯大樓,2111.1111111111113,148.77,638.5696040868454
47000,中山區,18.69,1.0,電梯大樓,2514.713750668807,61.78914,760.6514672319439
43500,大同區,33.05,3.0,電梯大樓,1316.1875945537067,109.26329999999999,398.12086949597904
90000,中山區,83.92,3.0,電梯大樓,1072.4499523355576,277.43952,324.39502490488735
120000,大安區,59.05,1.0,電梯大樓,2032.1761219305674,195.2193,614.6933218180784
81899,大同區,49.97,3.0,電梯大樓,1638.9633780268161,165.20082,495.7541978302529
49499,大安區,15.06,1.0,電梯大樓,3286.786188579017,49.788360000000004,994.1881998121648
75000,信義區,34.67,1.0,電梯大樓,2163.2535333141045,114.61902,654.3416616195112
91999,大安區,47.28,3.0,電梯大樓,1945.8333333333333,156.30768,588.5763258721516
80000,大同區,32.9,3.0,電梯大樓,2431.6109422492405,108.7674,735.514501587792
115000,中山區,78.5,2.0,電梯大樓,1464.968152866242,259.521,443.12406317793165
109999,中正區,78.55,4.0,電梯大樓,1400.3691915977086,259.6863,423.58414748872
65000,士林區,42.0,4.0,電梯大樓,1547.6190476190477,138.852,468.1243338230634
57999,信義區,17.68,2.0,電梯大樓,3280.4864253393666,58.45008,992.2826452932143
55999,大安區,31.54,3.0,電梯大樓,1775.4914394419784,104.27123999999999,537.051252099812
16000,大安區,6.0,1.0,電梯大樓,2666.6666666666665,19.836,806.6142367412785
80000,南港區,34.11,3.0,電梯大樓,2345.3532688361183,112.76766,709.4232513115905
45999,大同區,36.68,3.0,電梯大樓,1254.062159214831,121.26408,379.32914676794644
43000,大安區,27.0,2.0,電梯大樓,1592.5925925925926,89.262,481.727946942708
36998,大安區,12.25,1.0,電梯大樓,3020.2448979591836,40.4985,913.5646999271578
87999,大同區,55.0,3.0,電梯大樓,1599.9818181818182,181.83,483.96304240224384
88000,大安區,44.39,2.0,電梯大樓,1982.4284748817302,146.75334,599.6456366853388
79999,中正區,68.0,3.0,電梯大樓,1176.4558823529412,224.808,355.85477385146436
92000,內湖區,35.4,4.0,電梯大樓,2598.870056497175,117.0324,786.1070951292121
100000,中山區,73.86,4.0,電梯大樓,1353.9128080151638,244.18116,409.5320048442722
69999,士林區,44.34,3.0,電梯大樓,1578.6874154262516,146.58804,477.52190424266536
135999,大安區,41.23,3.0,電梯大樓,3298.5447489691974,136.30638,997.744933142528
94999,松山區,46.67,3.0,電梯大樓,2035.5474608956501,154.29102,615.7130855703722
160000,士林區,79.43,3.0,電梯大樓,2014.3522598514414,262.59558000000004,609.3019539780524
158000,士林區,61.95,3.0,電梯大樓,2550.4439063761097,204.8067,771.4591368348789
98000,南港區,83.63,3.0,電梯大樓,1171.8282912830325,276.48078,354.4550185369124
180000,大安區,105.21,3.0,電梯大樓,1710.8639863130882,347.82426,517.5027181830272
45000,士林區,16.26,2.0,電梯大樓,2767.5276752767527,53.75556,837.122708795146
184999,大安區,60.08,3.0,電梯大樓,3079.211051930759,198.62448,931.4008021569143
75000,內湖區,58.42,2.0,電梯大樓,1283.8069154399177,193.13652000000002,388.3263507077791
52999,大安區,37.3,4.0,電梯大樓,1420.8847184986596,123.31379999999999,429.7896910159285
52000,信義區,26.31,2.0,電梯大樓,1976.4348156594451,86.98085999999999,597.8326726132623
69999,中山區,36.71,2.0,電梯大樓,1906.810133478616,121.36326000000001,576.772575159896
79999,士林區,50.2,2.0,電梯大樓,1593.6055776892429,165.96120000000002,482.0343550179198
67999,士林區,44.34,3.0,電梯大樓,1533.5814163283715,146.58804,463.87822635461936
61499,松山區,38.28,1.0,電梯大樓,1606.556948798328,126.55368,485.95189013863524
75999,中山區,52.16,3.0,電梯大樓,1457.0360429447853,172.44096,440.72475588166526
270000,大安區,102.38,4.0,電梯大樓,2637.2338347333466,338.46828,797.7113837668925
65800,中山區,28.0,3.0,電梯大樓,2350.0,92.568,710.8287961282517
49999,大安區,33.99,3.0,電梯大樓,1470.9914680788465,112.37094,444.94599760400683
88000,大安區,42.26,3.0,電梯大樓,2082.3473734027452,139.71156,629.869138960298
105000,北投區,68.0,3.0,電梯大樓,1544.1176470588234,224.808,467.0652289954094
88000,南港區,51.0,3.0,電梯大樓,1725.4901960784314,168.606,521.9268590678861
45000,大安區,22.94,3.0,電梯大樓,1961.6390584132519,75.83964,593.357246948957
35899,大安區,19.43,1.0,電梯大樓,1847.6067936181164,64.23558,558.8647288621041
38000,松山區,24.0,2.0,電梯大樓,1583.3333333333333,79.344,478.9272030651341
67998,大同區,36.55,2.0,電梯大樓,1860.4103967168264,120.8343,562.7375670649807
46999,大安區,22.3,2.0,電梯大樓,2107.5784753363228,73.7238,637.5010512209084
77999,大同區,47.57,3.0,電梯大樓,1639.6678578936305,157.26642,495.96728913902916
85000,南港區,70.0,1.0,電梯大樓,1214.2857142857142,231.42000000000002,367.2975542304036
90000,士林區,53.5,4.0,電梯大樓,1682.2429906542056,176.871,508.84542971996535
47999,信義區,39.61,3.0,電梯大樓,1211.789952032315,130.95066,366.5426352184861
78750,大同區,47.69,3.0,電梯大樓,1651.2895785279934,157.66314,499.48263113369427
67999,信義區,32.5,1.0,電梯大樓,2092.276923076923,107.44500000000001,632.8726325096561
49000,南港區,43.34,3.0,電梯大樓,1130.5952930318413,143.28204000000002,341.9828472570602
74999,信義區,53.44,3.0,電梯大樓,1403.4244011976048,176.67264,424.50828832353443
59999,北投區,52.87,3.0,電梯大樓,1134.840174011727,174.78822,343.2668402939283
75000,信義區,65.6,4.0,電梯大樓,1143.2926829268295,216.87359999999998,345.82355805409236
119999,大安區,63.56,3.0,電梯大樓,1887.9641283826304,210.12936000000002,571.0720291538507
124999,中山區,61.73,4.0,電梯大樓,2024.9311517900535,204.07938,612.5018607955395
59000,中正區,23.2,2.0,電梯大樓,2543.1034482758623,76.6992,769.2387925819304
86000,中山區,60.0,3.0,電梯大樓,1433.3333333333333,198.36,433.55515224843714
69000,大安區,45.8,4.0,電梯大樓,1506.5502183406115,151.41479999999999,455.701820429707
60000,中山區,49.75,4.0,電梯大樓,1206.0301507537688,164.4735,364.8004085764576
32000,信義區,17.09,1.0,電梯大樓,1872.4400234055004,56.49954,566.3762926211434
32000,信義區,9.9,1.0,電梯大樓,3232.3232323232323,32.7294,977.7142263530649
45600,大安區,25.0,2.0,電梯大樓,1824.0,82.65,551.7241379310344
66800,萬華區,33.6,2.0,電梯大樓,1988.095238095238,111.08160000000001,601.3597211419352
77999,北投區,60.13,4.0,電梯大樓,1297.172792283386,198.78978,392.36926566345613
200000,中山區,90.0,4.0,電梯大樓,2222.222222222222,297.54,672.178530617732
65000,士林區,80.75,4.0,電梯大樓,804.953560371517,266.9595,243.4826256417172
84999,中山區,90.4,3.0,電梯大樓,940.254424778761,298.86240000000004,284.4084769445738
100000,大安區,66.74,4.0,電梯大樓,1498.3518130056939,220.64244,453.22196400656196
54999,大安區,22.53,2.0,電梯大樓,2441.145139813582,74.48418000000001,738.3984088970301
43499,中山區,20.01,2.0,電梯大樓,2173.863068465767,66.15306000000001,657.5508374064631
128000,中正區,120.0,3.0,電梯大樓,1066.6666666666667,396.72,322.6456946965114
50000,士林區,38.72,2.0,電梯大樓,1291.3223140495868,128.00832,390.59961102528337
57998,中正區,20.54,2.0,電梯大樓,2823.6611489776046,67.90523999999999,854.1019809369647
54999,大安區,39.55,3.0,電梯大樓,1390.6194690265488,130.7523,420.63504810240437
70000,南港區,45.77,4.0,電梯大樓,1529.386060738475,151.31562000000002,462.60921377449324
48000,大安區,11.11,1.0,電梯大樓,4320.4320432043205,36.729659999999996,1306.8457480956808
139999,大安區,81.51,6.0,電梯大樓,1717.5683965157648,269.47206,519.5306704524395
89999,北投區,59.94,3.0,電梯大樓,1501.484818151485,198.16164,454.16963646445396
42999,中山區,47.09,3.0,電梯大樓,913.1238054788702,155.67954,276.20199802748647
80000,中山區,91.48,3.0,電梯大樓,874.508089199825,302.43288,264.52150308524654
56000,中山區,21.87,2.0,電梯大樓,2560.5852766346593,72.30222,774.5267019463579
75485,士林區,63.26,4.0,電梯大樓,1193.2500790388872,209.13756,360.9346881545333
79899,士林區,62.12,3.0,電梯大樓,1286.2041210560208,205.36872,389.0514582746584
269999,信義區,98.12,5.0,電梯大樓,2751.722380758255,324.38472,832.3419179547051
180000,中山區,90.0,4.0,電梯大樓,2000.0,297.54,604.9606775559588
169999,信義區,98.5,3.0,電梯大樓,1725.8781725888325,325.641,522.0442143341901
14000,大安區,6.0,1.0,電梯大樓,2333.3333333333335,19.836,705.7874571486187
74998,中正區,26.54,2.0,電梯大樓,2825.847776940467,87.74124,854.7633929039525
80000,南港區,73.96,4.0,電梯大樓,1081.665765278529,244.51175999999998,327.1826271259918
60000,大同區,30.41,2.0,電梯大樓,1973.0351857941466,100.53546,596.8043514198871
55000,大同區,30.39,2.0,電梯大樓,1809.805857189865,100.46934,547.4306888051618
20000,中山區,10.0,2.0,電梯大樓,2000.0,33.06,604.9606775559588
95000,中山區,53.49,4.0,電梯大樓,1776.0329033464197,176.83794,537.2150342850634
79999,中山區,47.57,3.0,電梯大樓,1681.7111624973722,157.26642,508.68456215891473
